,actual,baseline,metrics,threshold
0,0.004422169811320755,0.004422169811320755,retention,1
1,0.9333333333333333,0.4666666666666667,purity,1
2,0.8,0.0,purity_90,1
3,0.9333333333333333,0.4,consistency,1
0,0.002063679245283019,0.002063679245283019,retention,2
1,0.7777777777777778,0.4444444444444444,purity,2
2,0.5,0.0,purity_90,2
3,0.7777777777777778,0.4444444444444444,consistency,2
0,0.006780660377358491,0.006780660377358491,retention,3
1,0.76,0.32,purity,3
2,0.4,0.0,purity_90,3
3,0.76,0.32,consistency,3
0,0.02564858490566038,0.02564858490566038,retention,4
1,0.4838709677419355,0.27956989247311825,purity,4
2,0.2727272727272727,0.0,purity_90,4
3,0.45161290322580644,0.25806451612903225,consistency,4
0,0.022700471698113206,0.022700471698113206,retention,5
1,0.48148148148148145,0.2345679012345679,purity,5
2,0.3,0.0,purity_90,5
3,0.43209876543209874,0.2222222222222222,consistency,5
0,0.027122641509433963,0.027122641509433963,retention,6
1,0.47474747474747475,0.29292929292929293,purity,6
2,0.16666666666666666,0.0,purity_90,6
3,0.45454545454545453,0.26262626262626265,consistency,6
0,0.013561320754716982,0.013561320754716982,retention,7
1,0.2857142857142857,0.20408163265306123,purity,7
2,0.0,0.0,purity_90,7
3,0.2857142857142857,0.20408163265306123,consistency,7
0,0.0852004716981132,0.0852004716981132,retention,8
1,0.3,0.17333333333333334,purity,8
2,0.045454545454545456,0.0,purity_90,8
3,0.24666666666666667,0.13666666666666666,consistency,8
0,0.11143867924528301,0.11143867924528301,retention,9
1,0.2868020304568528,0.1751269035532995,purity,9
2,0.03225806451612903,0.0,purity_90,9
3,0.23096446700507614,0.13959390862944163,consistency,9
0,0.0972877358490566,0.0972877358490566,retention,10
1,0.22713864306784662,0.168141592920354,purity,10
2,0.0,0.0,purity_90,10
3,0.18289085545722714,0.12389380530973451,consistency,10
0,0.1645047169811321,0.1645047169811321,retention,11
1,0.2268041237113402,0.13573883161512026,purity,11
2,0.0,0.0,purity_90,11
3,0.16494845360824742,0.10652920962199312,consistency,11
0,0.30247641509433965,0.30247641509433965,retention,12
1,0.1756007393715342,0.12384473197781885,purity,12
2,0.0,0.0,purity_90,12
3,0.13401109057301294,0.08410351201478743,consistency,12
0,0.31810141509433965,0.31810141509433965,retention,13
1,0.17235345581802275,0.1294838145231846,purity,13
2,0.0,0.0,purity_90,13
3,0.12860892388451445,0.09098862642169729,consistency,13
0,0.3561320754716981,0.3561320754716981,retention,14
1,0.16377952755905512,0.11496062992125984,purity,14
2,0.0,0.0,purity_90,14
3,0.12677165354330708,0.08110236220472442,consistency,14
0,0.6376768867924528,0.6376768867924528,retention,15
1,0.19930825767401644,0.14007782101167315,purity,15
2,0.007751937984496124,0.0,purity_90,15
3,0.11154345006485085,0.07868568958063121,consistency,15
0,0.7275943396226415,0.7275943396226415,retention,16
1,0.1667298219022357,0.1205001894657067,purity,16
2,0.011235955056179775,0.0,purity_90,16
3,0.11708980674497915,0.07919666540356196,consistency,16
0,0.7022405660377359,0.7022405660377359,retention,17
1,0.14998036906164114,0.1166077738515901,purity,17
2,0.0,0.0,purity_90,17
3,0.11189634864546526,0.07145661562622693,consistency,17
0,0.7753537735849056,0.7753537735849056,retention,18
1,0.14929078014184397,0.11099290780141843,purity,18
2,0.012658227848101266,0.0,purity_90,18
3,0.10425531914893617,0.07553191489361702,consistency,18
0,0.8263561320754716,0.8263561320754716,retention,19
1,0.1511435200530328,0.1136890951276102,purity,19
2,0.012658227848101266,0.0,purity_90,19
3,0.11103745442492542,0.07457739476300962,consistency,19
0,0.8909198113207547,0.8909198113207547,retention,20
1,0.1386838868388684,0.10116851168511685,purity,20
2,0.0,0.0,purity_90,20
3,0.10424354243542436,0.06826568265682657,consistency,20
0,0.8935731132075472,0.8935731132075472,retention,21
1,0.13196570728720147,0.10624617268830373,purity,21
2,0.0,0.0,purity_90,21
3,0.10042865890998164,0.07317819963257807,consistency,21
0,0.9074292452830188,0.9074292452830188,retention,22
1,0.12692656391659113,0.10123904502870958,purity,22
2,0.018518518518518517,0.0,purity_90,22
3,0.10214566334239952,0.06890299184043518,consistency,22
0,0.9442806603773585,0.9442806603773585,retention,23
1,0.11944604731679169,0.09405654933641085,purity,23
2,0.017543859649122806,0.0,purity_90,23
3,0.0966532025389498,0.0675129832660127,consistency,23
0,0.9563679245283019,0.9563679245283019,retention,24
1,0.14419795221843004,0.09414106939704209,purity,24
2,0.0,0.0,purity_90,24
3,0.12798634812286688,0.06569965870307168,consistency,24
0,0.9755306603773585,0.9755306603773585,retention,25
1,0.14166201896263245,0.09453430005577244,purity,25
2,0.0,0.0,purity_90,25
3,0.1260457334076966,0.06804238706079196,consistency,25
0,0.9714033018867925,0.9714033018867925,retention,26
1,0.14754558204768584,0.0964936886395512,purity,26
2,0.0392156862745098,0.0,purity_90,26
3,0.1332398316970547,0.07012622720897616,consistency,26
0,0.9678655660377359,0.9678655660377359,retention,27
1,0.11872017962391243,0.09093460566937973,purity,27
2,0.0,0.0,purity_90,27
3,0.1103003087285995,0.06679764243614932,consistency,27
0,0.9551886792452831,0.9551886792452831,retention,28
1,0.10071326676176891,0.08559201141226819,purity,28
2,0.0,0.0,purity_90,28
3,0.0992867332382311,0.07047075606276748,consistency,28
0,0.9985259433962265,0.9985259433962265,retention,29
1,0.1411860718171926,0.09085963003264418,purity,29
2,0.0,0.02857142857142857,purity_90,29
3,0.13193688792165398,0.06583242655059848,consistency,29
0,1.0,1.0,retention,30
1,0.14355628058727568,0.09162588363240892,purity,30
2,0.0,0.0,purity_90,30
3,0.1397498640565525,0.07449700924415444,consistency,30
