Inflation	Expansion	Retention	Purity_r	Purity_b
1.1	2.0	0.35526854868603314	0.7443017589315611	0.5294101587495951
1.1	3.0	0.35526854868603314	0.7459170047071602	0.5225811570390598
1.1	4.0	0.35526854868603314	0.7463489265748483	0.5250942784496306
1.1	5.0	0.35526854868603314	0.7468894167351499	0.5281468467276679
1.2	2.0	0.35526854868603314	0.7350847330306483	0.5208855596852218
1.2	3.0	0.35526854868603314	0.7445302440926765	0.5209075015594766
1.2	4.0	0.35526854868603314	0.7456584230760416	0.5281048113522688
1.2	5.0	0.35526854868603314	0.7458793791559135	0.5305254057043632
1.3	2.0	0.35526854868603314	0.7256773338883575	0.5169887873958722
1.3	3.0	0.35526854868603314	0.7378984983090532	0.5261618064034534
1.3	4.0	0.35526854868603314	0.7429680852203732	0.5256258982582869
1.3	5.0	0.35526854868603314	0.7447856828103765	0.5197782703772754
1.4	2.0	0.35526854868603314	0.7264155792998805	0.5132565492583385
1.4	3.0	0.35526854868603314	0.7321738165395181	0.5240256077874524
1.4	4.0	0.35526854868603314	0.7382942238389123	0.5208792905977012
1.4	5.0	0.35526854868603314	0.7422852468554927	0.5236696259384964
1.5	2.0	0.3553465868076555	0.7274665443365883	0.5161662908663847
1.5	3.0	0.35526854868603314	0.727241550464456	0.515281623744818
1.5	4.0	0.35526854868603314	0.7337780937147304	0.5204142960084613
1.5	5.0	0.35526854868603314	0.7375711140719359	0.5236087129267801
1.6	2.0	0.3556977583549564	0.7323619877291481	0.5152628085822532
1.6	3.0	0.35526854868603314	0.7256496317773767	0.5093917620825746
1.6	4.0	0.35526854868603314	0.7293153492700636	0.5180952364229074
1.6	5.0	0.35526854868603314	0.7342703230015012	0.5214396494875148
1.7	2.0	0.3556782488245508	0.7351875239858616	0.5239792144114449
1.7	3.0	0.35526854868603314	0.725352177399902	0.5115810052476779
1.7	4.0	0.35526854868603314	0.7273761530591512	0.5189861717670755
1.7	5.0	0.35526854868603314	0.7304848528562076	0.5219736791716061
1.8	2.0	0.3556587392941452	0.738340077762127	0.523298016657869
1.8	3.0	0.35530756774684435	0.7263161274513292	0.5151939950316599
1.8	4.0	0.35526854868603314	0.7259595813354884	0.5156401096710068
1.8	5.0	0.35526854868603314	0.7283234464574515	0.5211022589915624
1.9	2.0	0.3556392297637396	0.7435135165953071	0.5281748513214805
1.9	3.0	0.35530756774684435	0.7265333744535237	0.5142786385590016
1.9	4.0	0.35526854868603314	0.7256238851863451	0.5124000572210383
1.9	5.0	0.35526854868603314	0.726857500635461	0.5179016929867798
2.0	2.0	0.3558928536590124	0.7455737817869497	0.5286639883908949
2.0	3.0	0.35530756774684435	0.7273836676064429	0.5150325679984444
2.0	4.0	0.35526854868603314	0.7257883873401824	0.5126581079694063
2.0	5.0	0.35526854868603314	0.7256002024573334	0.5155059354132391
2.1	2.0	0.35600991084144606	0.7460204283832234	0.5301210987190014
2.1	3.0	0.35532707727724994	0.7283182259707003	0.5142716880895947
2.1	4.0	0.35526854868603314	0.7248376101224169	0.513810261262969
2.1	5.0	0.35526854868603314	0.7254732676702238	0.5133715621480507
2.2	2.0	0.3564196109799637	0.7475283244949297	0.5354434531277449
2.2	3.0	0.355717267885362	0.7306171502843156	0.5139364734421313
2.2	4.0	0.35530756774684435	0.7261073992204081	0.5129043881233118
2.2	5.0	0.35526854868603314	0.7256342129690467	0.5164245990614735
2.3	2.0	0.3564781395711805	0.749527962447057	0.5348227926609714
2.3	3.0	0.3556782488245508	0.7316917362302129	0.517287694363245
2.3	4.0	0.35530756774684435	0.7255088236008179	0.5119106049094675
2.3	5.0	0.35526854868603314	0.7251925579130198	0.5117919388423531
2.4	2.0	0.3564391205103693	0.7512183260796239	0.5375371988228321
2.4	3.0	0.3556782488245508	0.7322978962140967	0.519027809040736
2.4	4.0	0.35530756774684435	0.7256498862261809	0.517820749040326
2.4	5.0	0.35526854868603314	0.7254426464651639	0.5155643950634865
2.5	2.0	0.356751272996859	0.7522945366209218	0.5391753794359272
2.5	3.0	0.3556782488245508	0.733316813146819	0.5192603831197342
2.5	4.0	0.35530756774684435	0.7261791132727403	0.5145842094663804
2.5	5.0	0.3552880582164387	0.7246185548219685	0.5119102439369003
2.6	2.0	0.3569268587705094	0.7539307570733473	0.5391141642394323
2.6	3.0	0.3556782488245508	0.7344025907927867	0.5177943764528757
2.6	4.0	0.35530756774684435	0.7266926411888829	0.5133438264711514
2.6	5.0	0.35530756774684435	0.7257206437956877	0.5135748839862808
2.7	2.0	0.3570829350137542	0.7559648401664082	0.5493747844130656
2.7	3.0	0.3556782488245508	0.73529940086316	0.5183904148171128
2.7	4.0	0.35530756774684435	0.7272989698750763	0.5157286819907563
2.7	5.0	0.35530756774684435	0.725623240094153	0.5127517429006256
2.8	2.0	0.3568098015880758	0.7576157424852327	0.549002028689411
2.8	3.0	0.3556782488245508	0.7359413431604849	0.5218090261286871
2.8	4.0	0.35530756774684435	0.7286265566784935	0.5140189808278952
2.8	5.0	0.35530756774684435	0.7253731394981056	0.5114757918538625
2.9	2.0	0.3568683301792926	0.7585177581167157	0.5480331129559569
2.9	3.0	0.355717267885362	0.7361726992527636	0.5196385079816933
2.9	4.0	0.355619720233334	0.7293205491983674	0.5174450536184362
2.9	5.0	0.35530756774684435	0.7257930055239092	0.5132920962578303
3.0	2.0	0.3568293111184814	0.7594299976863366	0.5497915078136218
3.0	3.0	0.355717267885362	0.7368510116194441	0.5195835859268865
3.0	4.0	0.3556782488245508	0.7302010502361833	0.5138469341515793
3.0	5.0	0.35530756774684435	0.7259623910245078	0.5153603088639579
