actual	baseline	metrics	t	method
0.036072144288577156	0.036072144288577156	retention	0.20016241073608398	Greedy
0.6666666666666666	0.5555555555555556	purity	0.20016241073608398	Greedy
0.4375	0.125	purity_90	0.20016241073608398	Greedy
0.4444444444444444	0.3888888888888889	consistency	0.20016241073608398	Greedy
0.036072144288577156	0.036072144288577156	retention	0.5101683139801025	ClusTCR
0.6666666666666666	0.5555555555555556	purity	0.5101683139801025	ClusTCR
0.4375	0.1875	purity_90	0.5101683139801025	ClusTCR
0.4444444444444444	0.4444444444444444	consistency	0.5101683139801025	ClusTCR
0.03293687099725526	0.03293687099725526	retention	0.193192720413208	Greedy
0.6944444444444444	0.5277777777777778	purity	0.193192720413208	Greedy
0.4117647058823529	0.058823529411764705	purity_90	0.193192720413208	Greedy
0.4444444444444444	0.3611111111111111	consistency	0.193192720413208	Greedy
0.03293687099725526	0.03293687099725526	retention	0.5340886116027832	ClusTCR
0.6944444444444444	0.5	purity	0.5340886116027832	ClusTCR
0.4117647058823529	0.058823529411764705	purity_90	0.5340886116027832	ClusTCR
0.4722222222222222	0.4166666666666667	consistency	0.5340886116027832	ClusTCR
0.035175879396984924	0.035175879396984924	retention	0.1921699047088623	Greedy
0.6666666666666666	0.5333333333333333	purity	0.1921699047088623	Greedy
0.3684210526315789	0.15789473684210525	purity_90	0.1921699047088623	Greedy
0.4888888888888889	0.3333333333333333	consistency	0.1921699047088623	Greedy
0.035175879396984924	0.035175879396984924	retention	0.4388551712036133	ClusTCR
0.6666666666666666	0.5111111111111111	purity	0.4388551712036133	ClusTCR
0.3684210526315789	0.10526315789473684	purity_90	0.4388551712036133	ClusTCR
0.4666666666666667	0.35555555555555557	consistency	0.4388551712036133	ClusTCR
0.03546646106399383	0.03546646106399383	retention	0.18810439109802246	Greedy
0.7608695652173914	0.5652173913043478	purity	0.18810439109802246	Greedy
0.5238095238095238	0.19047619047619047	purity_90	0.18810439109802246	Greedy
0.43478260869565216	0.32608695652173914	consistency	0.18810439109802246	Greedy
0.03546646106399383	0.03546646106399383	retention	0.5322649478912354	ClusTCR
0.7608695652173914	0.5217391304347826	purity	0.5322649478912354	ClusTCR
0.5238095238095238	0.047619047619047616	purity_90	0.5322649478912354	ClusTCR
0.43478260869565216	0.30434782608695654	consistency	0.5322649478912354	ClusTCR
0.040918880114860015	0.040918880114860015	retention	0.1923832893371582	Greedy
0.7192982456140351	0.5087719298245614	purity	0.1923832893371582	Greedy
0.4444444444444444	0.07407407407407407	purity_90	0.1923832893371582	Greedy
0.42105263157894735	0.38596491228070173	consistency	0.1923832893371582	Greedy
0.040918880114860015	0.040918880114860015	retention	0.4408073425292969	ClusTCR
0.7192982456140351	0.5087719298245614	purity	0.4408073425292969	ClusTCR
0.4444444444444444	0.07407407407407407	purity_90	0.4408073425292969	ClusTCR
0.42105263157894735	0.3684210526315789	consistency	0.4408073425292969	ClusTCR
0.046215673141326186	0.046215673141326186	retention	0.1879138946533203	Greedy
0.6956521739130435	0.5072463768115942	purity	0.1879138946533203	Greedy
0.3793103448275862	0.10344827586206896	purity_90	0.1879138946533203	Greedy
0.42028985507246375	0.3188405797101449	consistency	0.1879138946533203	Greedy
0.046215673141326186	0.046215673141326186	retention	0.45188450813293457	ClusTCR
0.6956521739130435	0.5217391304347826	purity	0.45188450813293457	ClusTCR
0.3793103448275862	0.13793103448275862	purity_90	0.45188450813293457	ClusTCR
0.4057971014492754	0.2608695652173913	consistency	0.45188450813293457	ClusTCR
0.045768025078369905	0.045768025078369905	retention	0.18716716766357422	Greedy
0.726027397260274	0.4657534246575342	purity	0.18716716766357422	Greedy
0.3939393939393939	0.030303030303030304	purity_90	0.18716716766357422	Greedy
0.4794520547945205	0.273972602739726	consistency	0.18716716766357422	Greedy
0.047021943573667714	0.047021943573667714	retention	0.5120372772216797	ClusTCR
0.72	0.5066666666666667	purity	0.5120372772216797	ClusTCR
0.38235294117647056	0.08823529411764706	purity_90	0.5120372772216797	ClusTCR
0.48	0.29333333333333333	consistency	0.5120372772216797	ClusTCR
0.047365304914150384	0.047365304914150384	retention	0.29082608222961426	Greedy
0.5783132530120482	0.4578313253012048	purity	0.29082608222961426	Greedy
0.1875	0.03125	purity_90	0.29082608222961426	Greedy
0.43373493975903615	0.27710843373493976	consistency	0.29082608222961426	Greedy
0.047365304914150384	0.047365304914150384	retention	0.5139186382293701	ClusTCR
0.5783132530120482	0.4819277108433735	purity	0.5139186382293701	ClusTCR
0.1875	0.09375	purity_90	0.5139186382293701	ClusTCR
0.42168674698795183	0.3132530120481928	consistency	0.5139186382293701	ClusTCR
0.050335570469798654	0.050335570469798654	retention	0.294278621673584	Greedy
0.7634408602150538	0.5268817204301075	purity	0.294278621673584	Greedy
0.525	0.15	purity_90	0.294278621673584	Greedy
0.3763440860215054	0.27956989247311825	consistency	0.294278621673584	Greedy
0.050335570469798654	0.050335570469798654	retention	0.48741984367370605	ClusTCR
0.7634408602150538	0.5483870967741935	purity	0.48741984367370605	ClusTCR
0.525	0.175	purity_90	0.48741984367370605	ClusTCR
0.3655913978494624	0.26881720430107525	consistency	0.48741984367370605	ClusTCR
0.050659630606860157	0.050659630606860157	retention	0.29139113426208496	Greedy
0.7010309278350515	0.4742268041237113	purity	0.29139113426208496	Greedy
0.42857142857142855	0.0	purity_90	0.29139113426208496	Greedy
0.35051546391752575	0.23711340206185566	consistency	0.29139113426208496	Greedy
0.051715039577836415	0.051715039577836415	retention	0.5160040855407715	ClusTCR
0.696969696969697	0.5050505050505051	purity	0.5160040855407715	ClusTCR
0.4186046511627907	0.06976744186046512	purity_90	0.5160040855407715	ClusTCR
0.35353535353535354	0.26262626262626265	consistency	0.5160040855407715	ClusTCR
0.05025125628140704	0.05025125628140704	retention	0.28807592391967773	Greedy
0.71	0.45	purity	0.28807592391967773	Greedy
0.3902439024390244	0.04878048780487805	purity_90	0.28807592391967773	Greedy
0.41	0.25	consistency	0.28807592391967773	Greedy
0.05025125628140704	0.05025125628140704	retention	0.4610283374786377	ClusTCR
0.71	0.49	purity	0.4610283374786377	ClusTCR
0.3902439024390244	0.0975609756097561	purity_90	0.4610283374786377	ClusTCR
0.4	0.27	consistency	0.4610283374786377	ClusTCR
0.05076628352490421	0.05076628352490421	retention	0.2894864082336426	Greedy
0.6037735849056604	0.5094339622641509	purity	0.2894864082336426	Greedy
0.21739130434782608	0.06521739130434782	purity_90	0.2894864082336426	Greedy
0.3113207547169811	0.27358490566037735	consistency	0.2894864082336426	Greedy
0.05076628352490421	0.05076628352490421	retention	0.5643508434295654	ClusTCR
0.6037735849056604	0.5094339622641509	purity	0.5643508434295654	ClusTCR
0.21739130434782608	0.043478260869565216	purity_90	0.5643508434295654	ClusTCR
0.3018867924528302	0.3018867924528302	consistency	0.5643508434295654	ClusTCR
0.047074954296160876	0.047074954296160876	retention	0.3948814868927002	Greedy
0.6509433962264151	0.5094339622641509	purity	0.3948814868927002	Greedy
0.3023255813953488	0.16279069767441862	purity_90	0.3948814868927002	Greedy
0.3113207547169811	0.20754716981132076	consistency	0.3948814868927002	Greedy
0.047074954296160876	0.047074954296160876	retention	0.4852299690246582	ClusTCR
0.6509433962264151	0.5566037735849056	purity	0.4852299690246582	ClusTCR
0.3023255813953488	0.18604651162790697	purity_90	0.4852299690246582	ClusTCR
0.3113207547169811	0.2641509433962264	consistency	0.4852299690246582	ClusTCR
0.060008760402978534	0.060008760402978534	retention	0.3905923366546631	Greedy
0.7304964539007093	0.48226950354609927	purity	0.3905923366546631	Greedy
0.4915254237288136	0.05084745762711865	purity_90	0.3905923366546631	Greedy
0.3404255319148936	0.2127659574468085	consistency	0.3905923366546631	Greedy
0.060008760402978534	0.060008760402978534	retention	0.5433039665222168	ClusTCR
0.7304964539007093	0.5319148936170213	purity	0.5433039665222168	ClusTCR
0.4915254237288136	0.15254237288135594	purity_90	0.5433039665222168	ClusTCR
0.3404255319148936	0.24113475177304963	consistency	0.5433039665222168	ClusTCR
0.05985768103809125	0.05985768103809125	retention	0.3922872543334961	Greedy
0.6853146853146853	0.5034965034965035	purity	0.3922872543334961	Greedy
0.4	0.08333333333333333	purity_90	0.3922872543334961	Greedy
0.34265734265734266	0.27972027972027974	consistency	0.3922872543334961	Greedy
0.05985768103809125	0.05985768103809125	retention	0.5350704193115234	ClusTCR
0.6853146853146853	0.4755244755244755	purity	0.5350704193115234	ClusTCR
0.4	0.08333333333333333	purity_90	0.5350704193115234	ClusTCR
0.3356643356643357	0.24475524475524477	consistency	0.5350704193115234	ClusTCR
0.061996779388083734	0.061996779388083734	retention	0.38904356956481934	Greedy
0.7290322580645161	0.5032258064516129	purity	0.38904356956481934	Greedy
0.4603174603174603	0.12698412698412698	purity_90	0.38904356956481934	Greedy
0.33548387096774196	0.23225806451612904	consistency	0.38904356956481934	Greedy
0.061996779388083734	0.061996779388083734	retention	0.6299126148223877	ClusTCR
0.7290322580645161	0.5032258064516129	purity	0.6299126148223877	ClusTCR
0.4603174603174603	0.07936507936507936	purity_90	0.6299126148223877	ClusTCR
0.3225806451612903	0.23870967741935484	consistency	0.6299126148223877	ClusTCR
0.07173322993408297	0.07173322993408297	retention	0.4985225200653076	Greedy
0.7027027027027027	0.5297297297297298	purity	0.4985225200653076	Greedy
0.3717948717948718	0.1282051282051282	purity_90	0.4985225200653076	Greedy
0.32972972972972975	0.21081081081081082	consistency	0.4985225200653076	Greedy
0.07173322993408297	0.07173322993408297	retention	0.7633993625640869	ClusTCR
0.7027027027027027	0.518918918918919	purity	0.7633993625640869	ClusTCR
