avg_cluster_size	consistency	t	combo
5	0.12877228414960967	5.22414231300354	ba + he + hy
10	0.1442498155124869	3.741147518157959	ba + he + hy
15	0.1475705907484367	3.2997729778289795	ba + he + hy
20	0.149124169806191	2.561206102371216	ba + he + hy
25	0.14997863828795588	2.3412139415740967	ba + he + hy
30	0.15349361090612498	2.3648617267608643	ba + he + hy
35	0.15625121373363887	2.1039960384368896	ba + he + hy
40	0.19186701363265624	2.108959197998047	ba + he + hy
45	0.18978910164290985	1.7792363166809082	ba + he + hy
50	0.18986678059579756	2.265522003173828	ba + he + hy
55	0.19081834776867207	1.7891199588775635	ba + he + hy
60	0.19112906358022294	2.412278413772583	ba + he + hy
65	0.19124558200955452	1.8654975891113281	ba + he + hy
70	0.19110964384200102	2.1465442180633545	ba + he + hy
75	0.19151745834466152	1.753526210784912	ba + he + hy
80	0.19200295180020974	1.6873993873596191	ba + he + hy
85	0.19188643337087816	1.8494279384613037	ba + he + hy
90	0.19227482813531674	1.8372218608856201	ba + he + hy
95	0.19243018604109216	2.0086617469787598	ba + he + hy
100	0.19437215986328504	1.7278156280517578	ba + he + hy
105	0.19091544645978173	1.698298692703247	ba + he + hy
110	0.19458577698372626	1.9372565746307373	ba + he + hy
115	0.19309045714063774	1.6367478370666504	ba + he + hy
120	0.1940031848370684	1.6562485694885254	ba + he + hy
125	0.19472171515127976	1.7650790214538574	ba + he + hy
130	0.1944109993397289	1.8614850044250488	ba + he + hy
135	0.1944109993397289	1.6134881973266602	ba + he + hy
140	0.1945469375072824	1.6704962253570557	ba + he + hy
145	0.19608109682681477	1.6759653091430664	ba + he + hy
150	0.19666368897347264	1.5873005390167236	ba + he + hy
155	0.19611993630325864	1.6095850467681885	ba + he + hy
160	0.19646949159125335	1.627959966659546	ba + he + hy
165	0.19635297316192177	1.8866503238677979	ba + he + hy
170	0.20542199091156252	1.5775654315948486	ba + he + hy
175	0.21456868761409095	1.6446683406829834	ba + he + hy
180	0.21429681127898395	1.7432653903961182	ba + he + hy
185	0.2144521691847594	1.5625104904174805	ba + he + hy
190	0.21482114421097603	1.5703158378601074	ba + he + hy
195	0.21588922981318212	1.756204605102539	ba + he + hy
5	0.127315803782965	6.087446928024292	z
10	0.14409445760671147	3.8060429096221924	z
15	0.14502660504136405	3.209289312362671	z
20	0.18705091855361788	3.0254390239715576	z
25	0.18864333708781605	2.590923547744751	z
30	0.18796364625004855	2.3254599571228027	z
35	0.19056589117178702	2.0939290523529053	z
40	0.19281858080553074	1.977475881576538	z
45	0.19314871635530353	2.0749237537384033	z
50	0.19196411232376587	2.1738147735595703	z
55	0.20950013593816755	1.8851237297058105	z
60	0.19147861886821765	1.9797141551971436	z
65	0.2085874082417369	2.1281023025512695	z
70	0.20953897541461142	1.883389949798584	z
