actual	baseline	metrics	n	dm	t
0.03	0.03	retention	1000	Hamming	0.15884137153625488
0.6470588235294118	0.47058823529411764	purity	1000	Hamming	0.15884137153625488
0.35714285714285715	0.0	purity_90	1000	Hamming	0.15884137153625488
0.47058823529411764	0.38235294117647056	consistency	1000	Hamming	0.15884137153625488
0.035	0.035	retention	1000	Levenshtein	0.2767760753631592
0.6	0.45	purity	1000	Levenshtein	0.2767760753631592
0.3125	0.0	purity_90	1000	Levenshtein	0.2767760753631592
0.45	0.4	consistency	1000	Levenshtein	0.2767760753631592
0.03	0.03	retention	1100	Hamming	0.08786559104919434
0.6904761904761905	0.5238095238095238	purity	1100	Hamming	0.08786559104919434
0.5	0.0625	purity_90	1100	Hamming	0.08786559104919434
0.40476190476190477	0.38095238095238093	consistency	1100	Hamming	0.08786559104919434
0.03909090909090909	0.03909090909090909	retention	1100	Levenshtein	0.27518558502197266
0.660377358490566	0.5283018867924528	purity	1100	Levenshtein	0.27518558502197266
0.38095238095238093	0.19047619047619047	purity_90	1100	Levenshtein	0.27518558502197266
0.39622641509433965	0.33962264150943394	consistency	1100	Levenshtein	0.27518558502197266
0.035	0.035	retention	1200	Hamming	0.08952975273132324
0.6595744680851063	0.46808510638297873	purity	1200	Hamming	0.08952975273132324
0.4	0.05	purity_90	1200	Hamming	0.08952975273132324
0.3617021276595745	0.3829787234042553	consistency	1200	Hamming	0.08952975273132324
0.045	0.045	retention	1200	Levenshtein	0.3126809597015381
0.6271186440677966	0.4915254237288136	purity	1200	Levenshtein	0.3126809597015381
0.28	0.04	purity_90	1200	Levenshtein	0.3126809597015381
0.3389830508474576	0.3559322033898305	consistency	1200	Levenshtein	0.3126809597015381
0.03538461538461538	0.03538461538461538	retention	1300	Hamming	0.06054282188415527
0.7169811320754716	0.5283018867924528	purity	1300	Hamming	0.06054282188415527
0.5652173913043478	0.13043478260869565	purity_90	1300	Hamming	0.06054282188415527
0.41509433962264153	0.32075471698113206	consistency	1300	Hamming	0.06054282188415527
0.04384615384615385	0.04384615384615385	retention	1300	Levenshtein	0.36673951148986816
0.6666666666666666	0.48484848484848486	purity	1300	Levenshtein	0.36673951148986816
0.48	0.04	purity_90	1300	Levenshtein	0.36673951148986816
0.3484848484848485	0.3333333333333333	consistency	1300	Levenshtein	0.36673951148986816
0.024285714285714285	0.024285714285714285	retention	1400	Hamming	0.09425139427185059
0.8108108108108109	0.5405405405405406	purity	1400	Hamming	0.09425139427185059
0.6	0.13333333333333333	purity_90	1400	Hamming	0.09425139427185059
0.4864864864864865	0.35135135135135137	consistency	1400	Hamming	0.09425139427185059
0.027142857142857142	0.027142857142857142	retention	1400	Levenshtein	0.44750142097473145
0.7804878048780488	0.4634146341463415	purity	1400	Levenshtein	0.44750142097473145
0.6666666666666666	0.06666666666666667	purity_90	1400	Levenshtein	0.44750142097473145
0.4146341463414634	0.34146341463414637	consistency	1400	Levenshtein	0.44750142097473145
0.03333333333333333	0.03333333333333333	retention	1500	Hamming	0.11832618713378906
0.6666666666666666	0.5263157894736842	purity	1500	Hamming	0.11832618713378906
0.4166666666666667	0.08333333333333333	purity_90	1500	Hamming	0.11832618713378906
0.3333333333333333	0.3333333333333333	consistency	1500	Hamming	0.11832618713378906
0.04133333333333333	0.04133333333333333	retention	1500	Levenshtein	0.507929801940918
0.6428571428571429	0.6142857142857143	purity	1500	Levenshtein	0.507929801940918
0.36666666666666664	0.3	purity_90	1500	Levenshtein	0.507929801940918
0.34285714285714286	0.32857142857142857	consistency	1500	Levenshtein	0.507929801940918
0.039375	0.039375	retention	1600	Hamming	0.11214566230773926
0.6901408450704225	0.4507042253521127	purity	1600	Hamming	0.11214566230773926
