actual	baseline	metrics	method	q
0.2516553462343543	0.2516553462343543	retention	ClusTCR	0
0.5870738855468147	0.38716643529230294	purity	ClusTCR	0
0.4089035449299258	0.07502061005770816	purity_90	ClusTCR	0
0.13003239241092088	0.04627487274409996	consistency	ClusTCR	0
0.31321286684608485	0.31321286684608485	retention	GLIPH2	0
0.6516088239426725	0.4697906421244907	purity	GLIPH2	0
0.35135135135135137	0.07907907907907907	purity_90	GLIPH2	0
0.034846143037796824	0.015526204861598988	consistency	GLIPH2	0
0.2139850130504336	0.2139850130504336	retention	iSMART	0
0.6487473903966597	0.40501043841336115	purity	iSMART	0
0.4528301886792453	0.13647798742138365	purity_90	iSMART	0
0.11377870563674322	0.03983994432846207	consistency	iSMART	0
0.2363401228580666	0.2363401228580666	retention	ClusTCR	1
0.8580814717477004	0.3495400788436268	purity	ClusTCR	1
0.726457399103139	0.02242152466367713	purity_90	ClusTCR	1
0.36136662286465177	0.12746386333771353	consistency	ClusTCR	1
0.26608470740381507	0.26608470740381507	retention	GLIPH2	1
0.8663934426229508	0.42295081967213116	purity	GLIPH2	1
0.7327586206896551	0.032327586206896554	purity_90	GLIPH2	1
0.19098360655737706	0.07868852459016394	consistency	GLIPH2	1
0.23490146217418945	0.23490146217418945	retention	iSMART	1
0.8962868117797695	0.43661971830985913	purity	iSMART	1
0.8433333333333334	0.29333333333333333	purity_90	iSMART	1
0.3072983354673495	0.11011523687580026	consistency	iSMART	1
0.2411556603773585	0.2411556603773585	retention	TCRDist	1
0.5617070357554786	0.3679354094579008	purity	TCRDist	1
0.2682926829268293	0.020905923344947737	purity_90	TCRDist	1
0.23414071510957324	0.14648212226066898	consistency	TCRDist	1
0.2623413258110014	0.2623413258110014	retention	ClusTCR	2
0.9285714285714286	0.3622448979591837	purity	ClusTCR	2
0.9038461538461539	0.019230769230769232	purity_90	ClusTCR	2
0.47959183673469385	0.16326530612244897	consistency	ClusTCR	2
0.27926657263751764	0.27926657263751764	retention	GLIPH2	2
0.8925081433224755	0.46905537459283386	purity	GLIPH2	2
0.8529411764705882	0.09803921568627451	purity_90	GLIPH2	2
0.2768729641693811	0.10749185667752444	consistency	GLIPH2	2
0.2638888888888889	0.2638888888888889	retention	iSMART	2
0.912621359223301	0.470873786407767	purity	iSMART	2
0.9240506329113924	0.26582278481012656	purity_90	iSMART	2
0.3737864077669903	0.17475728155339806	consistency	iSMART	2
0.6292246520874751	0.6292246520874751	retention	TCRDist	2
0.3542234332425068	0.2574931880108992	purity	TCRDist	2
0.15748031496062992	0.0	purity_90	TCRDist	2
0.16893732970027248	0.14986376021798364	consistency	TCRDist	2
