gene,anchor_index,function
IGKV1-12*01,261,F
IGKV1-12*02,261,F
IGKV1-13*01,261,P
IGKV1-13*02,261,F
IGKV1-16*01,261,F
IGKV1-16*02,261,[F]
IGKV1-17*01,261,F
IGKV1-17*02,261,F
IGKV1-17*03,261,F
IGKV1-27*01,261,F
IGKV1-33*01,261,F
IGKV1-35*01,261,P
IGKV1-35*02,261,P
IGKV1-39*01,261,F
IGKV1-39*02,261,P
IGKV1-5*01,261,F
IGKV1-5*02,261,F
IGKV1-5*03,261,F
IGKV1-6*01,261,F
IGKV1-6*02,261,F
IGKV1-8*01,261,F
IGKV1-9*01,261,F
IGKV1-NL1*01,261,F
IGKV1/OR-2*01,261,P
IGKV1/OR-3*01,261,P
IGKV1/OR-4*01,261,P
IGKV1/OR1-1*01,261,P
IGKV1/OR10-1*01,261,P
IGKV1/OR15-118*01,261,P
IGKV1/OR2-0*01,261,ORF
IGKV1/OR2-1*01,261,P
IGKV1/OR2-108*01,261,ORF
IGKV1/OR2-11*01,261,P
IGKV1/OR2-118*01,23,P
IGKV1/OR2-2*01,23,P
IGKV1/OR2-3*01,261,P
IGKV1/OR2-6*01,261,P
IGKV1/OR2-9*01,261,P
IGKV1/OR22-5*01,261,P
IGKV1/OR22-5*02,261,P
IGKV1/OR9-1*01,23,P
IGKV1/OR9-2*01,23,P
IGKV1/ORY-1*01,261,P
IGKV1D-12*01,261,F
IGKV1D-12*02,261,F
IGKV1D-13*01,261,F
IGKV1D-13*02,261,F
IGKV1D-16*01,261,F
IGKV1D-16*02,261,F
IGKV1D-17*01,261,F
IGKV1D-22*01,265,P
IGKV1D-27*01,262,P
IGKV1D-33*01,261,F
IGKV1D-35*01,261,P
IGKV1D-35*02,261,P
IGKV1D-39*01,261,F
IGKV1D-42*01,261,ORF
IGKV1D-42*02,261,ORF
IGKV1D-43*01,261,F
IGKV1D-8*01,261,F
IGKV1D-8*02,261,F
IGKV1D-8*03,261,F
IGKV2-10*01,276,P
IGKV2-14*01,275,P
IGKV2-18*01,276,P
IGKV2-19*01,234,P
IGKV2-24*01,276,F
IGKV2-26*01,277,P
IGKV2-28*01,276,F
IGKV2-29*02,276,F
IGKV2-29*03,276,F
IGKV2-30*01,276,F
IGKV2-30*02,276,[F]
IGKV2-38*01,216,P
IGKV2-4*01,276,P
IGKV2-40*01,279,F
IGKV2/OR2-7D*01,276,P
IGKV2/OR22-4*01,279,P
IGKV2D-10*01,275,P
IGKV2D-14*01,275,P
IGKV2D-18*01,276,P
IGKV2D-19*01,235,P
IGKV2D-24*01,276,ORF
IGKV2D-26*01,276,F
IGKV2D-26*02,276,F
IGKV2D-26*03,276,F
IGKV2D-28*01,276,F
IGKV2D-29*01,276,F
IGKV2D-29*02,276,F
IGKV2D-30*01,276,F
IGKV2D-40*01,279,F
IGKV3-11*01,261,F
IGKV3-11*02,261,F
IGKV3-15*01,261,F
IGKV3-20*01,264,F
IGKV3-20*02,264,F
IGKV3-7*01,264,ORF
IGKV3-7*02,264,ORF
IGKV3-7*03,264,ORF
IGKV3-7*04,264,[ORF]
IGKV3/OR2-268*01,264,ORF
IGKV3/OR2-268*02,264,ORF
IGKV3D-11*01,261,F
IGKV3D-11*02,261,F
IGKV3D-11*03,261,F
IGKV3D-15*01,261,F
IGKV3D-15*02,261,P
IGKV3D-15*03,261,F
IGKV3D-20*01,264,F
IGKV3D-20*02,264,ORF
IGKV3D-31*01,259,P
IGKV3D-31*02,262,P
IGKV3D-34*01,261,P
IGKV3D-7*01,264,F
IGKV4-1*01,279,F
IGKV5-2*01,261,F
IGKV6-21*01,261,F
IGKV6-21*02,261,F
IGKV6D-21*01,261,F
IGKV6D-21*02,261,F
IGKV6D-41*01,261,ORF
IGKV7-3*01,273,P
