gene,anchor_index,function
IGLV1-36*01,264,F
IGLV1-40*01,267,F
IGLV1-40*02,267,F
IGLV1-40*03,267,F
IGLV1-44*01,264,F
IGLV1-47*01,264,F
IGLV1-47*02,264,F
IGLV1-51*01,264,F
IGLV1-51*02,264,F
IGLV10-54*01,264,F
IGLV10-54*02,264,F
IGLV2-11*01,267,F
IGLV2-11*02,267,F
IGLV2-11*03,244,F
IGLV2-14*01,267,F
IGLV2-14*02,267,F
IGLV2-14*03,244,F
IGLV2-14*04,244,F
IGLV2-18*01,267,F
IGLV2-18*02,267,F
IGLV2-18*03,267,F
IGLV2-18*04,267,F
IGLV2-23*01,267,F
IGLV2-23*02,267,F
IGLV2-23*03,267,F
IGLV2-8*01,267,F
IGLV2-8*02,267,F
IGLV2-8*03,244,F
IGLV3-1*01,258,F
IGLV3-10*01,258,F
IGLV3-10*02,258,F
IGLV3-12*01,258,F
IGLV3-12*02,258,F
IGLV3-16*01,258,F
IGLV3-19*01,258,F
IGLV3-21*01,258,F
IGLV3-21*02,258,F
IGLV3-21*03,258,F
IGLV3-22*01,258,F
IGLV3-25*01,258,F
IGLV3-25*02,258,F
IGLV3-25*03,258,F
IGLV3-27*01,258,F
IGLV3-9*01,258,F
IGLV3-9*02,258,F
IGLV4-3*01,273,F
IGLV4-60*01,273,F
IGLV4-60*02,273,F
IGLV4-60*03,273,F
IGLV4-69*01,273,F
IGLV4-69*02,273,F
IGLV5-37*01,285,F
IGLV5-39*01,285,F
IGLV5-39*02,285,F
IGLV5-45*01,285,F
IGLV5-45*02,285,F
IGLV5-45*03,285,F
IGLV5-45*04,285,F
IGLV5-52*01,285,F
IGLV6-57*01,270,F
IGLV6-57*02,270,F
IGLV7-43*01,267,F
IGLV7-46*01,267,F
IGLV7-46*02,267,F
IGLV8-61*01,267,F
IGLV8-61*02,267,F
IGLV9-49*01,276,F
IGLV9-49*02,276,F
IGLV9-49*03,276,F
